path,true_label,rf_label,cnn_label,combined_policy_label,p_rf_good,p_cnn_good,p_avg,tier,is_flagged,selected_final
/global/cfs/cdirs/m314/nova2/data/nstxu_204202/N1/egn01w.1139E+02,bad,bad,bad,bad,0.0,4.612219584032573e-07,2.3061097920162865e-07,gold_bad,False,
/global/cfs/cdirs/m314/nova2/data/nstxu_204202/N1/egn01w.1226E+02,bad,bad,bad,bad,0.0033333333333333335,0.0,0.0016666666666666668,gold_bad,False,
/global/cfs/cdirs/m314/nova2/data/nstxu_204202/N1/egn01w.1468E+02,bad,bad,bad,bad,0.006666666666666667,0.0,0.0033333333333333335,gold_bad,False,
/global/cfs/cdirs/m314/nova2/data/nstxu_204202/N1/egn01w.2735E+02,bad,bad,bad,bad,0.0033333333333333335,0.0,0.0016666666666666668,gold_bad,False,
/global/cfs/cdirs/m314/nova2/data/nstxu_204202/N1/egn01w.3981E+02,bad,bad,bad,bad,0.07333333333333333,0.0,0.03666666666666667,gold_bad,False,
/global/cfs/cdirs/m314/nova2/data/nstxu_204202/N1/egn01w.4413E+02,bad,bad,bad,bad,0.05333333333333334,0.0,0.02666666666666667,gold_bad,False,
/global/cfs/cdirs/m314/nova2/data/nstxu_204202/N1/egn01w.4648E+02,bad,bad,bad,bad,0.06666666666666667,0.0,0.03333333333333333,gold_bad,False,
/global/cfs/cdirs/m314/nova2/data/nstxu_204202/N1/egn01w.6355E+01,bad,bad,bad,bad,0.07333333333333333,0.0,0.03666666666666667,gold_bad,False,
/global/cfs/cdirs/m314/nova2/data/nstxu_204202/N1/egn01w.9345E+01,bad,bad,bad,bad,0.09333333333333334,2.310509157487482e-36,0.04666666666666667,gold_bad,False,
/global/cfs/cdirs/m314/nova2/data/nstxu_204202/N1/egn01w.9409E+01,bad,bad,bad,bad,0.16,0.0,0.08,gold_bad,False,
/global/cfs/cdirs/m314/nova2/data/nstxu_204202/N1/egn01w.9473E+01,bad,bad,bad,bad,0.3,1.3127659766534738e-12,0.15000000000065639,silver_bad,False,
/global/cfs/cdirs/m314/nova2/data/nstxu_204202/N1/egn01w.9537E+01,bad,bad,bad,bad,0.19,0.0,0.095,gold_bad,False,
/global/cfs/cdirs/m314/nova2/data/nstxu_204202/N1/egn01w.9599E+01,bad,bad,bad,bad,0.13,7.864486997123123e-33,0.065,gold_bad,False,
/global/cfs/cdirs/m314/nova2/data/nstxu_204202/N1/egn01w.9659E+01,bad,bad,bad,bad,0.15333333333333332,0.025769129395484924,0.08955123136440912,gold_bad,False,
/global/cfs/cdirs/m314/nova2/data/nstxu_204202/N2/egn02w.1421E+02,bad,bad,bad,bad,0.0,0.0,0.0,gold_bad,False,
/global/cfs/cdirs/m314/nova2/data/nstxu_204202/N2/egn02w.1429E+02,bad,bad,bad,bad,0.0,0.0,0.0,gold_bad,False,
/global/cfs/cdirs/m314/nova2/data/nstxu_204202/N2/egn02w.1705E+02,bad,bad,bad,bad,0.016666666666666666,0.0,0.008333333333333333,gold_bad,False,
/global/cfs/cdirs/m314/nova2/data/nstxu_204202/N2/egn02w.2199E+02,bad,bad,bad,bad,0.013333333333333334,0.0,0.006666666666666667,gold_bad,False,
/global/cfs/cdirs/m314/nova2/data/nstxu_204202/N2/egn02w.6554E+01,good,bad,bad,bad,0.25333333333333335,0.003911912906914949,0.12862262312012415,silver_bad,False,
/global/cfs/cdirs/m314/nova2/data/nstxu_204202/N2/egn02w.6557E+01,good,bad,bad,bad,0.20333333333333334,7.593766698933366e-39,0.10166666666666667,silver_bad,False,
/global/cfs/cdirs/m314/nova2/data/nstxu_204202/N2/egn02w.7267E+01,bad,bad,bad,bad,0.016666666666666666,0.0,0.008333333333333333,gold_bad,False,
/global/cfs/cdirs/m314/nova2/data/nstxu_204202/N3/egn03w.1017E+02,good,good,good,good,0.76,1.0,0.88,gold_good,False,True
/global/cfs/cdirs/m314/nova2/data/nstxu_204202/N3/egn03w.1359E+02,good,good,good,good,0.97,0.9999998807907104,0.9849999403953552,gold_good,False,True
/global/cfs/cdirs/m314/nova2/data/nstxu_204202/N3/egn03w.1740E+02,good,good,good,good,0.9733333333333334,0.9999972581863403,0.9866652957598369,gold_good,False,True
/global/cfs/cdirs/m314/nova2/data/nstxu_204202/N3/egn03w.2774E+02,bad,bad,bad,bad,0.13,2.225155535359786e-24,0.065,gold_bad,False,
/global/cfs/cdirs/m314/nova2/data/nstxu_204202/N3/egn03w.2907E+02,bad,bad,bad,bad,0.0033333333333333335,0.0,0.0016666666666666668,gold_bad,False,
/global/cfs/cdirs/m314/nova2/data/nstxu_204202/N3/egn03w.5040E+02,bad,bad,bad,bad,0.016666666666666666,0.0,0.008333333333333333,gold_bad,False,
/global/cfs/cdirs/m314/nova2/data/nstxu_204202/N3/egn03w.5139E+02,bad,bad,bad,bad,0.04666666666666667,1.675948581057399e-32,0.023333333333333334,gold_bad,False,
/global/cfs/cdirs/m314/nova2/data/nstxu_204202/N3/egn03w.5199E+01,bad,bad,bad,bad,0.09666666666666666,0.0,0.04833333333333333,gold_bad,False,
/global/cfs/cdirs/m314/nova2/data/nstxu_204202/N3/egn03w.5236E+02,bad,bad,bad,bad,0.07666666666666666,0.0,0.03833333333333333,gold_bad,False,
/global/cfs/cdirs/m314/nova2/data/nstxu_204202/N3/egn03w.5330E+02,bad,bad,bad,bad,0.043333333333333335,0.0,0.021666666666666667,gold_bad,False,
/global/cfs/cdirs/m314/nova2/data/nstxu_204202/N3/egn03w.5461E+02,good,bad,bad,bad,0.016666666666666666,0.0,0.008333333333333333,gold_bad,False,
/global/cfs/cdirs/m314/nova2/data/nstxu_204202/N3/egn03w.5470E+02,bad,bad,bad,bad,0.0033333333333333335,0.0,0.0016666666666666668,gold_bad,False,
/global/cfs/cdirs/m314/nova2/data/nstxu_204202/N3/egn03w.5830E+02,bad,bad,bad,bad,0.02666666666666667,0.0,0.013333333333333334,gold_bad,False,
/global/cfs/cdirs/m314/nova2/data/nstxu_204202/N3/egn03w.5865E+01,bad,bad,bad,bad,0.05333333333333334,6.973665051975346e-33,0.02666666666666667,gold_bad,False,
/global/cfs/cdirs/m314/nova2/data/nstxu_204202/N3/egn03w.5952E+02,bad,bad,bad,bad,0.08333333333333333,0.0,0.041666666666666664,gold_bad,False,
/global/cfs/cdirs/m314/nova2/data/nstxu_204202/N3/egn03w.6740E+01,bad,bad,bad,bad,0.02,0.0,0.01,gold_bad,False,
/global/cfs/cdirs/m314/nova2/data/nstxu_204202/N3/egn03w.6963E+01,good,bad,bad,bad,0.09333333333333334,0.0,0.04666666666666667,gold_bad,False,
/global/cfs/cdirs/m314/nova2/data/nstxu_204202/N3/egn03w.7521E+01,good,bad,good,bad,0.11666666666666667,1.0,0.5583333333333333,flagged_borderline_or_disagreement,True,
/global/cfs/cdirs/m314/nova2/data/nstxu_204202/N3/egn03w.9141E+01,good,good,good,good,0.51,1.0,0.755,silver_good,True,True
/global/cfs/cdirs/m314/nova2/data/nstxu_204202/N4/egn04w.1233E+02,bad,bad,bad,bad,0.02,0.0,0.01,gold_bad,False,
/global/cfs/cdirs/m314/nova2/data/nstxu_204202/N4/egn04w.1333E+02,bad,bad,bad,bad,0.043333333333333335,0.0,0.021666666666666667,gold_bad,False,
/global/cfs/cdirs/m314/nova2/data/nstxu_204202/N4/egn04w.1363E+02,good,good,good,good,1.0,1.0,1.0,gold_good,False,True
/global/cfs/cdirs/m314/nova2/data/nstxu_204202/N4/egn04w.1754E+02,good,good,good,good,1.0,1.0,1.0,gold_good,False,True
/global/cfs/cdirs/m314/nova2/data/nstxu_204202/N4/egn04w.2078E+02,good,good,good,good,0.9833333333333333,1.0,0.9916666666666667,gold_good,False,True
/global/cfs/cdirs/m314/nova2/data/nstxu_204202/N4/egn04w.2111E+02,bad,bad,bad,bad,0.04666666666666667,0.0,0.023333333333333334,gold_bad,False,
/global/cfs/cdirs/m314/nova2/data/nstxu_204202/N4/egn04w.2191E+02,bad,bad,bad,bad,0.02666666666666667,3.6328812973818414e-18,0.013333333333333336,gold_bad,False,
/global/cfs/cdirs/m314/nova2/data/nstxu_204202/N4/egn04w.2635E+02,good,good,good,good,0.9866666666666667,0.9999998807907104,0.9933332737286886,gold_good,False,True
/global/cfs/cdirs/m314/nova2/data/nstxu_204202/N4/egn04w.4189E+02,bad,bad,bad,bad,0.006666666666666667,0.0,0.0033333333333333335,gold_bad,False,
/global/cfs/cdirs/m314/nova2/data/nstxu_204202/N4/egn04w.5390E+02,bad,bad,bad,bad,0.05333333333333334,0.0,0.02666666666666667,gold_bad,False,
/global/cfs/cdirs/m314/nova2/data/nstxu_204202/N4/egn04w.5498E+02,bad,bad,bad,bad,0.023333333333333334,0.0,0.011666666666666667,gold_bad,False,
/global/cfs/cdirs/m314/nova2/data/nstxu_204202/N4/egn04w.5557E+02,bad,bad,bad,bad,0.06666666666666667,0.0,0.03333333333333333,gold_bad,False,
/global/cfs/cdirs/m314/nova2/data/nstxu_204202/N4/egn04w.5610E+02,bad,bad,bad,bad,0.0033333333333333335,0.0,0.0016666666666666668,gold_bad,False,
/global/cfs/cdirs/m314/nova2/data/nstxu_204202/N4/egn04w.5638E+01,bad,bad,bad,bad,0.013333333333333334,0.0,0.006666666666666667,gold_bad,False,
/global/cfs/cdirs/m314/nova2/data/nstxu_204202/N4/egn04w.5691E+02,bad,bad,bad,bad,0.0,0.0,0.0,gold_bad,False,
/global/cfs/cdirs/m314/nova2/data/nstxu_204202/N4/egn04w.5978E+02,bad,bad,bad,bad,0.023333333333333334,0.0,0.011666666666666667,gold_bad,False,
/global/cfs/cdirs/m314/nova2/data/nstxu_204202/N4/egn04w.8247E+01,bad,bad,bad,bad,0.39666666666666667,0.0,0.19833333333333333,silver_bad,False,
/global/cfs/cdirs/m314/nova2/data/nstxu_204202/N4/egn04w.8263E+01,good,good,good,good,0.6833333333333333,1.0,0.8416666666666667,silver_good,False,True
/global/cfs/cdirs/m314/nova2/data/nstxu_204202/N5/egn05w.1086E+02,bad,bad,bad,bad,0.0,0.0,0.0,gold_bad,False,
/global/cfs/cdirs/m314/nova2/data/nstxu_204202/N5/egn05w.1124E+02,bad,bad,bad,bad,0.0033333333333333335,3.3597086435002485e-35,0.0016666666666666668,gold_bad,False,
/global/cfs/cdirs/m314/nova2/data/nstxu_204202/N5/egn05w.1266E+02,good,good,good,good,1.0,1.0,1.0,gold_good,False,True
