shot,ntor,n_modes,n_matched,n_no_frequency_match,n_incomplete_or_conflicting,n_input_errors,n_modes_with_matched_interior_crossings,n_interior_crossings,median_signed_grid,median_abs_grid,fraction_abs_gt_2,fraction_positive,p90_abs_grid,group_error,n_interior_abs_gt_2,n_raw_modes,n_raw_no_frequency_match,n_raw_incomplete_or_conflicting,n_raw_informative_modes,n_raw_interior_crossings,raw_fraction_abs_gt_2,n_empty_log_matches,n_core_crossings_in_empty_log_modes,review_priority,interpretation,notes
nstxuE202806A02t045,1,5,4,0,0,0,2,2,-48.398318370161995,48.398318370161995,1.0,0.0,54.24134863710282,,2,8,0,0,2,2,1.0,1,1,1,LARGE_INPUT_DISCREPANCY,"N1/3772 and 4129: sharp structure follows logged r~0.43-0.63, far from the sole upper datcon crossing at r~0.18-0.22. N2 also has absent correspondence. This E shot requires paired continuum/mode/run provenance review; cause is unconfirmed."
nstxuE205059A01t025,1,54,54,0,0,0,51,51,2.166389879462971,2.166389879462971,0.6862745098039216,1.0,2.791172233156891,,35,120,0,0,52,52,0.6923076923076923,0,0,1,REPEATED_MODEST_OFFSET,48 interior upper crossings are outward of the nearest logged radii by 1.45-3.44 intervals (35 beyond two); three lower crossings align. A smaller repeated pattern than the large G discrepancies; not yet an invalidity decision.
nstxuG121123N22,1,3,3,0,0,0,3,7,4.24004131877318,4.24004131877318,1.0,0.7142857142857143,27.267124968122204,,7,38,0,0,28,35,0.8857142857142857,0,0,1,SPARSE_DISCREPANCY,Three informative modes. Several branch offsets and missing counterparts; 1827 has no nearby logged counterpart. Do not interpret its 45.9-interval distance as an identified resonance translation.
nstxuG121123N75,1,12,12,0,0,0,1,1,8.60418609940854,8.60418609940854,1.0,1.0,8.60418609940854,,1,45,0,0,2,2,1.0,0,0,1,SPARSE_DISCREPANCY,One informative TAE-side N1 mode: 1836 has a sharp feature near logged r=0.39 versus datcon r=0.4330. N2 also has repeated disagreements (41/41 interior comparisons beyond two intervals).
nstxuG121123Q62,1,20,20,0,0,0,18,28,-4.215848011952739,4.482895461023234,0.8928571428571429,0.21428571428571427,7.493824439841313,,25,157,0,0,89,99,0.8484848484848485,0,0,1,REPEATED_DISCREPANCY,Repeated interior log/continuum disagreement across at least five TAE-side modes; signed-profile examples supplied. Branches need separate review; nearest distance is not a branch assignment. Q62 training was already suspended for a separate issue.
nstxuG121123R42,1,30,30,0,0,0,30,54,9.8094739470856,9.8094739470856,1.0,1.0,17.21888440601889,,54,363,0,0,61,132,0.8863636363636364,0,0,1,REPEATED_DISCREPANCY,Repeated interior log/continuum disagreement across at least five TAE-side modes; signed-profile examples supplied. Branches need separate review; nearest distance is not a branch assignment.
nstxuG133964U37,1,4,4,0,0,0,4,10,-0.7863344577977827,4.4269548647604156,0.6,0.4,24.78191750124901,,6,44,0,0,5,12,0.6666666666666666,0,0,1,SPARSE_DISCREPANCY,Three modes near the lower-continuum maximum have inner offsets of -4.0 to -5.6 intervals and an outer lower crossing without a nearby log counterpart; upper crossings align. Four informative TAE-side modes in total.
nstxuG142301B37,1,25,25,0,0,0,25,27,2.8489945445496767,3.1399348845769337,0.7407407407407407,0.9259259259259259,7.288412515143019,,20,126,0,22,55,86,0.9186046511627907,0,0,1,REPEATED_DISCREPANCY,Repeated interior log/continuum disagreement across at least five TAE-side modes; signed-profile examples supplied. Branches need separate review; nearest distance is not a branch assignment.
nstxuG142301B85,1,10,10,0,0,0,10,21,-6.149252136632452,7.6771458115355795,1.0,0.47619047619047616,100.80230726294046,,21,93,0,0,48,97,1.0,0,0,1,REPEATED_DISCREPANCY,Repeated interior log/continuum disagreement across at least five TAE-side modes; signed-profile examples supplied. Branches need separate review; nearest distance is not a branch assignment.
nstxuG142301D46,1,10,10,0,0,0,10,19,4.000448581685401,4.863418894503435,0.8421052631578947,0.7368421052631579,24.627077609743775,,16,57,0,0,11,21,0.8571428571428571,0,0,1,REPEATED_DISCREPANCY,Repeated interior log/continuum disagreement across at least five TAE-side modes; signed-profile examples supplied. Branches need separate review; nearest distance is not a branch assignment.
