shot,audit_cohort,primary_mode_cohort,source_data_root,audit_created_utc,n_raw_n1_modes,n_primary_modes,n_informative_modes,n_interior_crossings,fraction_abs_gt_2,median_abs_grid,n1_status,current_registry_scope,group_error,source_summary,notes,production_sorting_status
nstx_120113,training,training_list_before_confirmed_exclusions,/p/hym/ebelova/NOVA/data_mixed,2026-09-10T20:33:56.892186+00:00,229,38,1,1,0.0,1.0436719133031458,LIMITED_LOG_COVERAGE,,,audits/n1_training_alignment_20260910/training_n1_summary.csv,LIMITED_LOG_COVERAGE: 37/38 training modes lack matching log frequency; three plotted examples show structure near crossings.,training
nstx_135388,training,training_list_before_confirmed_exclusions,/p/hym/ebelova/NOVA/data_mixed,2026-09-10T20:33:56.892186+00:00,250,36,30,41,0.926829268292683,4.898831560582928,CONFIRMED_N1_EXCLUSION,1,,audits/n1_training_alignment_20260910/training_n1_summary.csv,PRIORITY_REVIEW: repeated lower-boundary mismatch; sampled upper-boundary crossings can align.,training
nstx_141711,training,training_list_before_confirmed_exclusions,/p/hym/ebelova/NOVA/data_mixed,2026-09-10T20:33:56.892186+00:00,114,11,10,10,0.5,1.8350657264064152,SECONDARY_REVIEW,,,audits/n1_training_alignment_20260910/training_n1_summary.csv,SECONDARY_REVIEW: modest systematic inward offsets plus one crossing with no nearby logged singularity.,training
nstxuE202806A02t025,pilot,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:01:23.358161+00:00,17,3,2,2,0.0,0.21141652952839096,NO_SYSTEMATIC_OFFSET_FOUND,,,audits/n1_pilot_alignment_20260910/pilot_n1_summary.csv,NO_SYSTEMATIC_OFFSET_FOUND,checked_post_training
nstxuE202806A02t045,remaining_database,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:26:37.129237+00:00,8,5,2,2,1.0,48.398318370161995,LARGE_INPUT_DISCREPANCY,,,audits/n1_database_alignment_20260910/database_n1_summary.csv,"N1/3772 and 4129: sharp structure follows logged r~0.43-0.63, far from the sole upper datcon crossing at r~0.18-0.22. N2 also has absent correspondence. This E shot requires paired continuum/mode/run provenance review; cause is unconfirmed.",unchecked
nstxuE202842A01t030,remaining_database,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:26:37.129237+00:00,18,7,7,8,0.125,0.29361189168740087,LOCAL_EXTRA_CROSSING_REVIEW,,,audits/n1_database_alignment_20260910/database_n1_summary.csv,Large nearest distances occur at extra crossings around a shallow upper-continuum dip; sampled mode structure is present near the dip. Main crossings usually align. Missing log counterparts do not establish a systematic N1 shift. Some modes also have modest main-branch offsets.,unchecked
nstxuE202842A01t035,remaining_database,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:26:37.129237+00:00,165,37,34,36,0.19444444444444445,0.9350399392042186,LOCAL_EXTRA_CROSSING_REVIEW,,,audits/n1_database_alignment_20260910/database_n1_summary.csv,Large nearest distances occur at extra crossings around a shallow upper-continuum dip; sampled mode structure is present near the dip. Main crossings usually align. Missing log counterparts do not establish a systematic N1 shift. Some modes also have modest main-branch offsets.,unchecked
nstxuE202855A01t020,training,training_list_before_confirmed_exclusions,/p/hym/ebelova/NOVA/data_mixed,2026-09-10T20:33:56.892186+00:00,7,6,0,0,,,NO_TRAINING_CROSSINGS,,,audits/n1_training_alignment_20260910/training_n1_summary.csv,NO_TRAINING_CROSSINGS: all six training modes and matching logs have no crossings/singularities.,training
nstxuE202855A01t025,remaining_database,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:26:37.129237+00:00,26,16,14,14,0.0,0.8306919206085811,WITHIN_REVIEW_TOLERANCE,,,audits/n1_database_alignment_20260910/database_n1_summary.csv,"All usable TAE-side interior comparisons within two intervals. This screen does not certify other branches, absent comparisons, or eigenmode quality.",unchecked
nstxuE202855A01t030,remaining_database,tae_side,/p/nstxdigtwin/energetic_particles/nova/DiTw,2026-09-10T21:26:37.129237+00:00,44,20,19,19,0.0,0.4409052945100189,WITHIN_REVIEW_TOLERANCE,,,audits/n1_database_alignment_20260910/database_n1_summary.csv,"All usable TAE-side interior comparisons within two intervals. This screen does not certify other branches, absent comparisons, or eigenmode quality.",unchecked
