cohort,mode_key,path,training_label,baseline_decision,input_fingerprint,region_id,side,hf_out_top2_ratio,hf_out_total_fraction,hf_out_local_fraction,hf_out_radial_extent,hf_out_harmonic_extent
training,nstxuE204669M03t025/N10/egn10w.1295E+02,/p/hym/ebelova/NOVA/data_mixed/nstxuE204669M03t025/N10/egn10w.1295E+02,bad,GOOD,f1d09a00e421ac89348335ccdcf35c9037e98bb511a3e97758006c1468709934,0,above_upper,0.021040709007894284,0.003892281363120612,0.9602083064793127,14.371446417701161,2.3926874667763185
training,nstxuE204669M03t025/N10/egn10w.3232E+02,/p/hym/ebelova/NOVA/data_mixed/nstxuE204669M03t025/N10/egn10w.3232E+02,bad,BAD,31e3de2d1bd46661f08d7d41c0185ac540fd8a73d2e65318e3f280cbbe64aa61,0,above_upper,0.6140640497739456,0.24734030969146112,0.8287624021134088,17.158563576286106,2.0257422188843206
training,nstxuE204669M03t025/N2/egn02w.3307E+02,/p/hym/ebelova/NOVA/data_mixed/nstxuE204669M03t025/N2/egn02w.3307E+02,bad,BAD,8939f0bb180139da7c806217ea3b53e5724ded2240e427990bc13b3882ef59a1,2,above_upper,0.06213745040892222,0.033134355415720074,0.45205139723218357,8.510606108778747,6.345001561777593
training,nstxuE204669M03t025/N4/egn04w.1002E+02,/p/hym/ebelova/NOVA/data_mixed/nstxuE204669M03t025/N4/egn04w.1002E+02,bad,BAD,fbc899da8824dcefaf4a1b3cbe546f9feaceffac27e3694bf575cf130cbb671d,0,above_upper,0.20249436181130367,0.1371567195670037,0.25059184116560546,9.104225313792535,2.4028077846537115
training,nstxuE204669M03t025/N8/egn08w.3282E+02,/p/hym/ebelova/NOVA/data_mixed/nstxuE204669M03t025/N8/egn08w.3282E+02,bad,BAD,2bef70e2c2947936b5dbf8ce8a8af07b9f7712d09feea9f86d7ad4190c2d0a6c,0,above_upper,0.9286127543615056,0.5134686844703622,0.9173484613850629,12.349104296360672,1.5380568200996843
training,nstxuE204669M03t025/N9/egn09w.3261E+02,/p/hym/ebelova/NOVA/data_mixed/nstxuE204669M03t025/N9/egn09w.3261E+02,bad,BAD,71fc1ffe82ec3c80617672e63dd3b8dc961c24cf40e7d6892d265b6f50695c13,0,above_upper,0.6657085655039979,0.18624242623456547,0.8726698963352951,18.91130397362905,2.083820683273653
training,nstxuE204669M03t025/N9/egn09w.3359E+02,/p/hym/ebelova/NOVA/data_mixed/nstxuE204669M03t025/N9/egn09w.3359E+02,bad,BAD,488aec62253efc7adb0177eedda7bdfc4ee7161a35bcd517632bc5b2dfd53ff1,0,above_upper,0.6074928292915482,0.2970391069330036,0.8449982914009666,22.07683960706351,2.14712622668878
training,nstxuE205052A01t022/N1/egn01w.1194E+02,/p/hym/ebelova/NOVA/data_mixed/nstxuE205052A01t022/N1/egn01w.1194E+02,bad,BAD,7d19ef68f7109d183b4104da25d71bb35943d02d0efd5cdfcd14684ed79e0378,0,above_upper,0.5293575426956962,0.3873391800116689,0.498388517342761,8.059316010895051,2.1790355044149603
training,nstxuE205052A01t022/N2/egn02w.1994E+02,/p/hym/ebelova/NOVA/data_mixed/nstxuE205052A01t022/N2/egn02w.1994E+02,bad,BAD,7e735c50c3a42551ed979b835bc28055bef7b689ba7429c09adeec448445d4b3,1,above_upper,0.06055054962044962,0.027265781241813246,0.43136356408784154,14.021050294220105,8.809877076687801
training,nstxuE205052A01t022/N2/egn02w.2175E+02,/p/hym/ebelova/NOVA/data_mixed/nstxuE205052A01t022/N2/egn02w.2175E+02,bad,BAD,9e21c8a0298ba3309dc142ab3584efaa8607bcf816812a49f368c28497ee9ac5,1,above_upper,0.330178358701123,0.09043830958881421,0.2811076715539143,9.308794966515045,7.544324196220395
training,nstxuE205052A01t022/N2/egn02w.2309E+02,/p/hym/ebelova/NOVA/data_mixed/nstxuE205052A01t022/N2/egn02w.2309E+02,bad,BAD,58ba3bed4f54349c0f408a12703fc3d9ca1d790263cad2eff9993b92e5ac81da,1,above_upper,0.3430215675794537,0.07831913667780674,0.23255846392366308,8.569543300095942,6.805198192590344
training,nstxuE205052A01t022/N3/egn03w.1237E+02,/p/hym/ebelova/NOVA/data_mixed/nstxuE205052A01t022/N3/egn03w.1237E+02,bad,BAD,adb91268dc48bddec475f6861757760fe337e9b01aa71bbeeeb0d60418688028,0,above_upper,0.23494851748538256,0.16146847996157726,0.2465968202268663,8.84394470066085,2.1881123386742543
training,nstxuE205052A01t022/N5/egn05w.1342E+02,/p/hym/ebelova/NOVA/data_mixed/nstxuE205052A01t022/N5/egn05w.1342E+02,bad,BAD,4e80db97fc5bf28c6df24e7290d5b8a570fcd37d378dc2ced73e1d36fef85bec,0,above_upper,0.12000847905074183,0.015415145401838023,0.25874058644099807,11.358392154880745,2.084978690191269
training,nstxuE205052A01t022/N7/egn07w.1317E+02,/p/hym/ebelova/NOVA/data_mixed/nstxuE205052A01t022/N7/egn07w.1317E+02,bad,BAD,d476aec944ee7754f54091d928c08e13d45b3769fee89ed041d21178d17e801b,0,above_upper,0.025974662000452967,0.003938790107082355,0.8470902371756205,11.040751141021383,2.0956047897957246
training,nstxuE205052A01t022/N7/egn07w.2388E+02,/p/hym/ebelova/NOVA/data_mixed/nstxuE205052A01t022/N7/egn07w.2388E+02,bad,BAD,8b52bdff1795c622a978c7c337632249b15f5b207c69b2e74bf6f49afaa11b5c,3,above_upper,0.013733075763705372,0.006263361091107178,0.2992617851097197,10.647075314901542,11.344275335532688
training,nstxuE205052A01t022/N9/egn09w.8945E+01,/p/hym/ebelova/NOVA/data_mixed/nstxuE205052A01t022/N9/egn09w.8945E+01,bad,BAD,9f20b19682c4842e7dc42428afd18a80d061d0a807d7b32a298a31dc257100c9,0,below_lower,0.20345514494507472,0.16312113367380277,0.21773891118770514,16.007331272597778,1.9365004786952817
training,nstxuE205052A01t022/N9/egn09w.9117E+01,/p/hym/ebelova/NOVA/data_mixed/nstxuE205052A01t022/N9/egn09w.9117E+01,bad,BAD,f354efdcf3ff186d453aa2e2fbcdb7ce9da0a04018344baea120a99641a8e3bb,0,below_lower,0.322478852752336,0.31003178953021515,0.353274801297368,15.909620610662856,2.0290682389979806
training,nstxuG121123J38/N6/egn06w.4521E+02,/p/hym/ebelova/NOVA/data_mixed/nstxuG121123J38/N6/egn06w.4521E+02,bad,BAD,91f5ffb17ef31d870b9c6f403d344ac33a93f9eb75537d9ec94996e1b38a2854,1,above_upper,0.04134556827636767,0.01815945969538601,0.4719871049780266,10.288495791254888,9.537539975285503
training,nstxuG121123J38/N7/egn07w.4548E+02,/p/hym/ebelova/NOVA/data_mixed/nstxuG121123J38/N7/egn07w.4548E+02,bad,BAD,8ec2051e25df52d46625da2fddf73d6f022454dc9b9d6b9965f22012c5e892db,1,above_upper,0.09916739986048297,0.04358326093399151,0.27693706534517276,10.38353123314946,10.159053101247402
training,nstxuG121123J38/N7/egn07w.4580E+02,/p/hym/ebelova/NOVA/data_mixed/nstxuG121123J38/N7/egn07w.4580E+02,bad,BAD,aea6719eba61d1ef72f46b6e39825a0b91c13d30c25101da39bb467293855040,2,above_upper,0.02996866181132337,0.01732825138420591,0.37959494408162076,10.013924513745602,9.73496524720948
training,nstxuG121123B12/N7/egn07w.2744E+02,/p/hym/ebelova/NOVA/data_mixed/nstxuG121123B12/N7/egn07w.2744E+02,bad,BAD,fa5470527e86da5bbf5a7fbc266de3784f8c3919d683b4868ad85e92df738dc8,0,above_upper,0.052289133966257506,0.01870651522845603,0.22798292558535718,12.969306328824521,10.615067944572496
training,nstxuG121123B12/N7/egn07w.3171E+02,/p/hym/ebelova/NOVA/data_mixed/nstxuG121123B12/N7/egn07w.3171E+02,bad,BAD,4f66821ed1f3a798f5b462af1721b0dc9a88770c4c76c8776b0c0d60ade34764,2,above_upper,0.12097471779239621,0.048040528677341786,0.4125426528874694,9.120009532319632,9.563614257630693
