shot,ntor,file_kind,filename,training_relative_path,reference_relative_path,in_training_csv,training_label,status,training_exists,reference_exists,training_size,reference_size,training_mtime_utc,reference_mtime_utc,training_sha256,reference_sha256,mode_shape_training,mode_shape_reference,mode_structure_equal,mode_max_abs_delta,omega_training,omega_reference,omega_relative_change_signed,omega_relative_change_abs,gamma_training,gamma_reference,ntor_training,ntor_reference,comparison_error
nstx_120113,1,mode,egn01w.1388E+02,nstx_120113/N1/egn01w.1388E+02,nstx_120113/N1/egn01w.1388E+02,true,bad,training_only,true,false,62744,,2026-05-12T18:37:22.285065+00:00,,340cad4d343ee1bc0260730176c629517b71340f9aa1b336dfacca8631905a65,,,,,,,,,,,,,,
nstx_120113,1,mode,egn01w.1397E+02,nstx_120113/N1/egn01w.1397E+02,nstx_120113/N1/egn01w.1397E+02,true,bad,training_only,true,false,62744,,2026-05-12T18:37:22.282065+00:00,,ba5451173e65e5fea39cf63338cb7f843e1bb95b4161e24642380fef581d53c2,,,,,,,,,,,,,,
nstx_120113,1,mode,egn01w.1406E+02,nstx_120113/N1/egn01w.1406E+02,nstx_120113/N1/egn01w.1406E+02,true,bad,training_only,true,false,62744,,2026-05-12T18:37:22.235061+00:00,,a6335bb2f4ca50ae2ba64eb2b03d13ccfeefe25b99c0d9823a62354b0d748e00,,,,,,,,,,,,,,
nstx_120113,1,mode,egn01w.1415E+02,nstx_120113/N1/egn01w.1415E+02,nstx_120113/N1/egn01w.1415E+02,true,bad,training_only,true,false,62744,,2026-05-12T18:37:22.323068+00:00,,91aadd3bb02caaa7c6428c6f1131cc4b23b6723814f9773a4156e06e359dd440,,,,,,,,,,,,,,
nstx_120113,1,mode,egn01w.1425E+02,nstx_120113/N1/egn01w.1425E+02,nstx_120113/N1/egn01w.1425E+02,true,bad,training_only,true,false,62744,,2026-05-12T18:37:22.297066+00:00,,d626d45d8ab134d991ce4d33fb4788840c4aef899dc1b62b3c593969cc2234c3,,,,,,,,,,,,,,
nstx_120113,1,mode,egn01w.1435E+02,nstx_120113/N1/egn01w.1435E+02,nstx_120113/N1/egn01w.1435E+02,true,bad,training_only,true,false,62744,,2026-05-12T18:37:22.252062+00:00,,ef645e738e323bd63e4eafb4c5c00139868161d60c5b370100c15b33a610ba2c,,,,,,,,,,,,,,
nstx_120113,1,mode,egn01w.1445E+02,nstx_120113/N1/egn01w.1445E+02,nstx_120113/N1/egn01w.1445E+02,true,bad,training_only,true,false,62744,,2026-05-12T18:37:22.338069+00:00,,3a6a72bf4e13574d12da97db23c8bbe06a7450020b4138e3e82d048952f31649,,,,,,,,,,,,,,
nstx_120113,1,mode,egn01w.1455E+02,nstx_120113/N1/egn01w.1455E+02,nstx_120113/N1/egn01w.1455E+02,true,bad,training_only,true,false,62744,,2026-05-12T18:37:22.278064+00:00,,e4619b5c04b7ebf23990e86b2eed7c7336dec5d1fa3a204c674bf637adc7ddc2,,,,,,,,,,,,,,
nstx_120113,1,mode,egn01w.1602E+02,nstx_120113/N1/egn01w.1602E+02,nstx_120113/N1/egn01w.1602E+02,true,bad,training_only,true,false,62744,,2026-05-12T18:37:22.289065+00:00,,5fe60609ea1ba1e09f13405375806566d6c1a8f0cfd324cb5f9f6db3d53fc7f3,,,,,,,,,,,,,,
nstx_120113,1,mode,egn01w.1621E+02,nstx_120113/N1/egn01w.1621E+02,nstx_120113/N1/egn01w.1621E+02,true,bad,training_only,true,false,62744,,2026-05-12T18:37:22.269064+00:00,,d994f77f4d667d7b9767405330a1620f4d463ff5834235e5c957ab6a8d13150e,,,,,,,,,,,,,,
nstx_120113,1,mode,egn01w.1642E+02,nstx_120113/N1/egn01w.1642E+02,nstx_120113/N1/egn01w.1642E+02,true,bad,training_only,true,false,62744,,2026-05-12T18:37:22.310067+00:00,,b8096f9d312b536d405f31acd696f070fab4550bf092eb8650528fdd6c687e31,,,,,,,,,,,,,,
nstx_120113,1,mode,egn01w.1664E+02,nstx_120113/N1/egn01w.1664E+02,nstx_120113/N1/egn01w.1664E+02,false,,training_only,true,false,62744,,2026-05-12T18:37:22.272064+00:00,,e934b0f9ec0f5eef9556b6a2ff188f95aea0c16692ce0edb216f45ab495f3c7a,,,,,,,,,,,,,,
nstx_120113,1,mode,egn01w.1728E+02,nstx_120113/N1/egn01w.1728E+02,nstx_120113/N1/egn01w.1728E+02,true,bad,training_only,true,false,62744,,2026-05-12T18:37:22.302066+00:00,,3a9bbc56488609e4a708ab081e434492d37751eb179dec4d3521212dcaad3709,,,,,,,,,,,,,,
nstx_120113,1,mode,egn01w.1754E+02,nstx_120113/N1/egn01w.1754E+02,nstx_120113/N1/egn01w.1754E+02,true,bad,training_only,true,false,62744,,2026-05-12T18:37:22.264063+00:00,,dc0d494f570115e061c3c6763a663ee12806792255ba64320a06e12145e81bf2,,,,,,,,,,,,,,
nstx_120113,1,mode,egn01w.1780E+02,nstx_120113/N1/egn01w.1780E+02,nstx_120113/N1/egn01w.1780E+02,true,bad,training_only,true,false,62744,,2026-05-12T18:37:22.319067+00:00,,cfa4c9b296ae87223923cfd3fe301f10b93934dd9e87c1070701e50744504618,,,,,,,,,,,,,,
