path,mode_key,shot,n,omega,gap_region,signed_delta,fraction_below_upper2,input_fingerprint,disagreement_type,rules_final_decision,rule_decision,rule_primary_reason,rule_triggered_rules,rule_survivor_policy,rule_survivor_accepted,rules_selected_final,rf_cnn_final_label,rf_cnn_tier,p_rf_good,p_cnn_good,p_avg,rf_cnn_model_disagreement,rf_cnn_near_threshold,rf_cnn_large_score_gap,rf_cnn_selected_final
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE202806A02t025/N3/egn03w.7423E+01,nstxuE202806A02t025/N3/egn03w.7423E+01,nstxuE202806A02t025,3,2.72445663568058,tae_like,0.9948169894615662,1.0,2fec1402fbb861b352c615d80e1b41728c27364ce9ee0d91b0aaf7931df8cbfb,RULES_BAD_RF_CNN_GOOD,BAD,BAD,BAD_GRID_SCALE_SPIKE,"[""BAD_GRID_SCALE_SPIKE""]",accept-as-good-v1,False,,good,flagged_rf_only_good,0.5666666666666667,0.0,0.2833333333333333,True,True,True,True
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE202806A02t025/N3/egn03w.2515E+02,nstxuE202806A02t025/N3/egn03w.2515E+02,nstxuE202806A02t025,3,5.014581431442288,tae_like,0.6140444183106861,0.9970053779600262,8be9e16371a6a989118d69beda3a49f5a35465eb7374db869548fd91a05fba39,RULES_BAD_RF_CNN_GOOD,BAD,BAD,BAD_CONT_CROSS_WINDOW,"[""BAD_CONT_CROSS_WINDOW""]",accept-as-good-v1,False,,good,gold_good,0.7233333333333334,0.9999974966049194,0.8616654149691264,False,False,False,True
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE202806A02t025/N4/egn04w.1294E+02,nstxuE202806A02t025/N4/egn04w.1294E+02,nstxuE202806A02t025,4,3.5977602053313373,tae_like,0.9831113396311857,0.9999998479514794,b0159fd2a30cd918dffd8ae15ce838b2ee61f4ed0d855ab2d296d20b8f4915c9,RULES_BAD_RF_CNN_GOOD,BAD,BAD,BAD_GRID_SCALE_SPIKE,"[""BAD_GRID_SCALE_SPIKE""]",accept-as-good-v1,False,,good,flagged_rf_only_good,0.6033333333333334,0.0,0.3016666666666667,True,False,True,True
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE202806A02t025/N6/egn06w.9229E+01,nstxuE202806A02t025/N6/egn06w.9229E+01,nstxuE202806A02t025,6,3.0378755419516703,tae_like,0.9989478727652792,0.9999999948694802,783f25289858d550cc75bfa1641b2b78d6d6d0668b9ad6e92c1af0d06e118117,RULES_GOOD_RF_CNN_BAD,GOOD,REVIEW,NO_GOOD_TEMPLATE,"[""NO_GOOD_TEMPLATE""]",accept-as-good-v1,True,True,bad,silver_bad,0.2,3.5320228344210057e-16,0.10000000000000019,False,False,False,
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE202806A02t025/N7/egn07w.8340E+01,nstxuE202806A02t025/N7/egn07w.8340E+01,nstxuE202806A02t025,7,2.887961966776233,tae_like,0.9994932713364103,1.0,f680dbc01f8108994e35f1575a4eb84e688f6d230d13db5e21d01deffdfd6f85,RULES_BAD_RF_CNN_GOOD,BAD,BAD,BAD_GRID_SCALE_SPIKE,"[""BAD_GRID_SCALE_SPIKE""]",accept-as-good-v1,False,,good,flagged_rf_only_good,0.63,0.0,0.315,True,False,True,True
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE202806A02t025/N7/egn07w.2445E+02,nstxuE202806A02t025/N7/egn07w.2445E+02,nstxuE202806A02t025,7,4.945026221758747,tae_like,0.4344966685265749,0.9986322554313225,3893b12babfd5d6e98830bb120c2a8b00171e2149b4e0d66ad96436e2103a87c,RULES_BAD_RF_CNN_GOOD,BAD,BAD,BAD_GRID_SCALE_SPIKE,"[""BAD_GRID_SCALE_SPIKE""]",accept-as-good-v1,False,,good,flagged_rf_only_good,0.5833333333333334,0.0,0.2916666666666667,True,True,True,True
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE202806A02t025/N8/egn08w.7959E+01,nstxuE202806A02t025/N8/egn08w.7959E+01,nstxuE202806A02t025,8,2.821165834419531,tae_like,0.987512419688403,1.0,75d10fe839ba61b32c41b4e6a3a6195a4834bf33112abe395c6c62fc58f6d8e0,RULES_BAD_RF_CNN_GOOD,BAD,BAD,BAD_CONT_CROSS_WINDOW,"[""BAD_CONT_CROSS_WINDOW""]",accept-as-good-v1,False,,good,flagged_rf_only_good,0.5,6.958390027372863e-13,0.25000000000034794,False,True,True,True
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE202806A02t025/N8/egn08w.9030E+01,nstxuE202806A02t025/N8/egn08w.9030E+01,nstxuE202806A02t025,8,3.0049459811295405,tae_like,0.9824680522892449,0.9999997179135596,50e17b41f61158411b7324db314d13b3e5fef52169002702ff6f01aeb27e8b15,RULES_GOOD_RF_CNN_BAD,GOOD,REVIEW,NO_GOOD_TEMPLATE,"[""NO_GOOD_TEMPLATE""]",accept-as-good-v1,True,True,bad,silver_bad,0.39666666666666667,7.653383704564476e-09,0.19833333716002519,False,False,False,
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE202806A02t025/N8/egn08w.1016E+02,nstxuE202806A02t025/N8/egn08w.1016E+02,nstxuE202806A02t025,8,3.1877567782279375,tae_like,0.991790997628869,0.99999977840761,1a914bd894a5728c1d1f6510edb0b674d5863b2e894d959cb582b458de4b83e7,RULES_BAD_RF_CNN_GOOD,BAD,BAD,BAD_GRID_SCALE_SPIKE,"[""BAD_GRID_SCALE_SPIKE""]",accept-as-good-v1,False,,good,flagged_rf_only_good,0.75,0.0,0.375,True,False,True,True
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE202806A02t025/N8/egn08w.1611E+02,nstxuE202806A02t025/N8/egn08w.1611E+02,nstxuE202806A02t025,8,4.0137452722111515,tae_like,0.9901098422337348,0.9999999999887349,1f885e062dc5bc88436795fdf3913507ec9ec2d6f5f72f3695ce8de95c86f16d,RULES_GOOD_RF_CNN_BAD,GOOD,REVIEW,NO_GOOD_TEMPLATE,"[""NO_GOOD_TEMPLATE""]",accept-as-good-v1,True,True,bad,flagged_borderline_or_disagreement,0.25333333333333335,1.0,0.6266666666666667,True,False,True,
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE202806A02t025/N8/egn08w.1718E+02,nstxuE202806A02t025/N8/egn08w.1718E+02,nstxuE202806A02t025,8,4.144820677149216,tae_like,0.7236732383567989,0.9999999999077271,6eb6c60ebe942ca9d25e2e0de2c2bc85fdb5147b35411fe0c10be72f64ee027b,RULES_GOOD_RF_CNN_BAD,GOOD,REVIEW,NO_GOOD_TEMPLATE,"[""NO_GOOD_TEMPLATE""]",accept-as-good-v1,True,True,bad,silver_bad,0.25666666666666665,3.0005905500729568e-05,0.1283483362860837,False,False,False,
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE202806A02t025/N9/egn09w.7757E+01,nstxuE202806A02t025/N9/egn09w.7757E+01,nstxuE202806A02t025,9,2.785103683668328,tae_like,0.9881381364858451,1.0,7f6f9d59506f03d85e1dfb456d245a5dcda5a3736c408c6a92fabe5ffd6816ab,RULES_BAD_RF_CNN_GOOD,BAD,BAD,BAD_GRID_SCALE_SPIKE,"[""BAD_GRID_SCALE_SPIKE""]",accept-as-good-v1,False,,good,gold_good,0.7033333333333334,1.0,0.8516666666666667,False,False,False,True
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE202806A02t025/N9/egn09w.9313E+01,nstxuE202806A02t025/N9/egn09w.9313E+01,nstxuE202806A02t025,9,3.051688168613226,tae_like,0.9904526337298235,0.9999981221355284,afcdaea58adcf195d6d38dbbc18f94909aeb719efc876a130de23185a08b40b7,RULES_BAD_RF_CNN_GOOD,BAD,BAD,BAD_GRID_SCALE_SPIKE,"[""BAD_GRID_SCALE_SPIKE""]",accept-as-good-v1,False,,good,flagged_rf_only_good,0.6766666666666666,0.0,0.3383333333333333,True,False,True,True
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE202806A02t025/N9/egn09w.1552E+02,nstxuE202806A02t025/N9/egn09w.1552E+02,nstxuE202806A02t025,9,3.9394647092877584,tae_like,0.9597896320538728,0.9990347786740761,e87bf24c37c5b9da78b9454134d5861c8e1370cad794cb5b71581a07fc6d05c9,RULES_BAD_RF_CNN_GOOD,BAD,BAD,BAD_CONT_CROSS_WINDOW,"[""BAD_CONT_CROSS_WINDOW""]",accept-as-good-v1,False,,good,flagged_cnn_rescue,0.44666666666666666,0.9999998807907104,0.7233332737286886,True,True,True,True
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE202806A02t025/N10/egn10w.5223E+01,nstxuE202806A02t025/N10/egn10w.5223E+01,nstxuE202806A02t025,10,2.285456254205026,tae_like,0.9997576744678129,1.0,85449cbce8b30569d6d216bb2c0f732c1b9797401306f3daafd693395ba98bbe,RULES_GOOD_RF_CNN_BAD,GOOD,REVIEW,NO_GOOD_TEMPLATE,"[""NO_GOOD_TEMPLATE""]",accept-as-good-v1,True,True,bad,flagged_borderline_or_disagreement,0.4633333333333333,5.266993029307853e-25,0.23166666666666666,False,True,True,
