path,status,median_offset_grid,fraction_crossings_beyond_two_grid,note
nstx_135388/N1/egn01w.1468E+03,MATCHED,0.17831774511849474,1.0,PRIORITY_REVIEW: repeated lower-boundary mismatch; sampled upper-boundary crossings can align.
nstx_135388/N1/egn01w.1904E+02,MATCHED,2.9278953560807452,1.0,PRIORITY_REVIEW: repeated lower-boundary mismatch; sampled upper-boundary crossings can align.
nstx_135388/N1/egn01w.1934E+02,MATCHED,3.0680387897868866,1.0,PRIORITY_REVIEW: repeated lower-boundary mismatch; sampled upper-boundary crossings can align.
nstx_135388/N1/egn01w.1963E+02,MATCHED,3.2058622137036252,1.0,PRIORITY_REVIEW: repeated lower-boundary mismatch; sampled upper-boundary crossings can align.
nstx_135388/N1/egn01w.1991E+02,MATCHED,3.34389974442294,1.0,PRIORITY_REVIEW: repeated lower-boundary mismatch; sampled upper-boundary crossings can align.
nstx_135388/N1/egn01w.2018E+02,MATCHED,3.481028909215067,1.0,PRIORITY_REVIEW: repeated lower-boundary mismatch; sampled upper-boundary crossings can align.
nstx_135388/N1/egn01w.2043E+02,MATCHED,3.6132507381709256,1.0,PRIORITY_REVIEW: repeated lower-boundary mismatch; sampled upper-boundary crossings can align.
nstx_135388/N1/egn01w.2067E+02,MATCHED,3.782510782698467,1.0,PRIORITY_REVIEW: repeated lower-boundary mismatch; sampled upper-boundary crossings can align.
nstx_135388/N1/egn01w.2092E+02,MATCHED,3.8988707387114685,1.0,PRIORITY_REVIEW: repeated lower-boundary mismatch; sampled upper-boundary crossings can align.
nstx_135388/N1/egn01w.2115E+02,MATCHED,4.027271382885889,1.0,PRIORITY_REVIEW: repeated lower-boundary mismatch; sampled upper-boundary crossings can align.
nstx_135388/N1/egn01w.2137E+02,MATCHED,4.150519309397993,1.0,PRIORITY_REVIEW: repeated lower-boundary mismatch; sampled upper-boundary crossings can align.
nstx_135388/N1/egn01w.2159E+02,MATCHED,4.270974331023014,1.0,PRIORITY_REVIEW: repeated lower-boundary mismatch; sampled upper-boundary crossings can align.
nstx_135388/N1/egn01w.2180E+02,MATCHED,4.388765909799841,1.0,PRIORITY_REVIEW: repeated lower-boundary mismatch; sampled upper-boundary crossings can align.
nstx_135388/N1/egn01w.2200E+02,MATCHED,4.503279033309937,1.0,PRIORITY_REVIEW: repeated lower-boundary mismatch; sampled upper-boundary crossings can align.
nstx_135388/N1/egn01w.2220E+02,MATCHED,4.616640274590056,1.0,PRIORITY_REVIEW: repeated lower-boundary mismatch; sampled upper-boundary crossings can align.
nstx_135388/N1/egn01w.2240E+02,MATCHED,4.729306526067045,1.0,PRIORITY_REVIEW: repeated lower-boundary mismatch; sampled upper-boundary crossings can align.
nstx_135388/N1/egn01w.2278E+02,MATCHED,4.898831560582928,1.0,PRIORITY_REVIEW: repeated lower-boundary mismatch; sampled upper-boundary crossings can align.
nstx_135388/N1/egn01w.2296E+02,MATCHED,3.6103810942683463,1.0,PRIORITY_REVIEW: repeated lower-boundary mismatch; sampled upper-boundary crossings can align.
nstx_135388/N1/egn01w.2330E+02,MATCHED,-1.5293002210956876,1.0,PRIORITY_REVIEW: repeated lower-boundary mismatch; sampled upper-boundary crossings can align.
nstx_135388/N1/egn01w.2347E+02,MATCHED,-1.038346976791153,1.0,PRIORITY_REVIEW: repeated lower-boundary mismatch; sampled upper-boundary crossings can align.
nstx_135388/N1/egn01w.2364E+02,MATCHED,-0.8366081629507942,1.0,PRIORITY_REVIEW: repeated lower-boundary mismatch; sampled upper-boundary crossings can align.
nstx_135388/N1/egn01w.2395E+02,MATCHED,-0.44173386764367617,1.0,PRIORITY_REVIEW: repeated lower-boundary mismatch; sampled upper-boundary crossings can align.
