path,input_fingerprint,training_label,baseline_decision,baseline_reason,candidate,r_start,r_end,n_qualifying,hf_total_fraction,hf_top2_ratio,hf_window_fraction,effective_length,n_firing_windows
nstxuG121123J38/N8/egn08w.1757E+02,d2d88d67d6353a734b2d54236f25eba272687593ff112dc924f19755735ce817,bad,BAD,BAD_GRID_SCALE_SPIKE,True,0.93,0.98,9,0.013401643796743547,0.11955426109464591,0.2390707029222809,0.030118214027773853,1
nstxuG121123J38/N8/egn08w.2629E+02,47ba439be72c0fa8d8a0f816a3baf4d7dbe024112f3a1a5291723a1e1e271f49,bad,BAD,BAD_CONT_CROSS_WINDOW,True,0.925,0.975,9,0.006908498205523155,0.0660012391986955,0.1899345441700122,0.030483082478183723,1
nstxuG121123J38/N8/egn08w.3044E+02,5333af328dde21b6cb611d8b4b3683783d964c91d767dcaa24949166db9e4f60,bad,BAD,BAD_CONT_CROSS_WINDOW,True,0.935,0.985,9,0.012504821881715845,0.1607882632803133,0.17295958404723805,0.03221279028951462,2
nstxuG121123J38/N8/egn08w.3359E+02,edfbfebdc49e4fe208de3419ba0a300da74f8a1d8062831751e7876a083d7489,bad,BAD,BAD_CONT_CROSS_WINDOW,True,0.935,0.985,9,0.011836596175368494,0.12262024233119047,0.12353024219686158,0.03135493725099594,2
nstxuG121123J38/N10/egn10w.2199E+02,58359fa155570d165d788d8ba1576e6a4150aeaa06d5b71a0cd01467b833c930,bad,BAD,BAD_GRID_SCALE_SPIKE,True,0.915,0.965,8,0.008731674091766268,0.03277778199935417,0.1225752608905503,0.038557326560982846,8
nstxuG142301W29/N4/egn04w.2381E+02,b0094f77ef5d47d58999fd08a3fe98e10549e4fb1406d4c4b16f2bc81de0119e,bad,BAD,BAD_GRID_SCALE_SPIKE,True,0.9400000000000001,0.99,8,0.01742032300485849,0.044671871206901755,0.1514756898435957,0.03722891434558013,4
nstxuG142301W29/N4/egn04w.2875E+02,6e9f3dc21e5907c4936d583a2556bbd8dfd087a40e48199e977c76c2fc8c6fab,bad,BAD,BAD_AXIS_SPIKE,True,0.9400000000000001,0.99,9,0.02357872974732617,0.05345806512995997,0.17182390388608063,0.04217151185550273,7
nstxuG142301W29/N4/egn04w.2886E+02,399a10e5fb0bfe3d7aa32d9fdf6e54ea4a6c0f0d6c108f22669cec31cb38eaf8,bad,BAD,BAD_AXIS_SPIKE,True,0.9400000000000001,0.99,9,0.015988281684424226,0.0331197717824472,0.1554073828193751,0.04166006954217787,7
nstxuG142301W29/N5/egn05w.1479E+02,516efa20dbe0466cf72741150e0768055f98ad7b887527364fd8405f6e97e223,bad,BAD,BAD_AXIS_SPIKE,True,0.9400000000000001,0.99,8,0.015558301630357794,0.18569134668374834,0.07106770489254562,0.035632691840135663,4
nstxuG142301W29/N8/egn08w.1488E+02,c13abc843a443d238eece98e4ac2a4a42ffeba5962ce12e844d704f2e3d326c7,bad,BAD,BAD_GRID_SCALE_SPIKE,True,0.93,0.98,9,0.00734806312679557,0.00886813884884324,0.1322718707925616,0.03726032554429664,6
nstxuG142301W29/N10/egn10w.1779E+02,3814aa75da4b28601a250485e03fca28d2cf616646fff073d9b809c2e86097ac,bad,BAD,BAD_CONTINUUM_CROSSING_TAIL,True,0.9400000000000001,0.99,9,0.01138531020355903,0.013624972257485773,0.25542954803094237,0.03303903654365489,3
nstx_135388/N10/egn10w.1104E+03,1fe5d5242deee0d4699f43b64c4748f79d9aacc0a62da9a9cbff60ea8f10d46e,bad,BAD,BAD_AXIS_SPIKE,True,0.9500000000000001,1.0,8,0.0065589727925929545,0.06967395790187464,0.06207056406660029,0.03180774351297669,1
nstx_135388/N10/egn10w.6074E+02,150bd1d11fee0c78743cfacabd3e3361cd252ef7d67ce5a663e650556fead733,bad,ROUTED_EAE,ROUTED_EAE,True,0.935,0.985,9,0.008054755582200325,0.011632227847867339,0.1607607223355643,0.03310611882290011,4
nstxuG133964S31/N5/egn05w.1718E+02,845276acac12f33cd25a7af69116c1dc3522bef91f91d5ef054fe602ce793ccd,bad,BAD,BAD_AXIS_SPIKE,True,0.935,0.985,9,0.007598556887853433,0.02481079470652544,0.12369757728112354,0.03820955517401626,7
nstxuG133964S31/N6/egn06w.1749E+02,8de33eb5224941b434057b5f6b8569da4fbe866d3d4cfd950219295bdf3c28e6,bad,BAD,BAD_GRID_SCALE_SPIKE,True,0.93,0.98,9,0.009118621259120612,0.02476886749388665,0.09063735711458511,0.037610199898533765,6
nstxuG133964S31/N6/egn06w.1768E+02,d397edec226068ff061b82765fb34b610be77f70d143b2caade82c4dc062157e,bad,BAD,BAD_GRID_SCALE_SPIKE,True,0.93,0.98,9,0.009627964531785198,0.02696960584598981,0.09212157124903318,0.037565045349876945,7
nstxuG133964S31/N8/egn08w.1084E+02,f7e7d333d255f611988609611d66229e24b98ea852e53e96cc79e9616081fa13,bad,BAD,BAD_AXIS_SPIKE,True,0.0,0.05,8,0.12998704021175383,0.6872738029906099,0.4402654472696313,0.03239745864762844,1
nstxuG133964S31/N8/egn08w.1086E+02,694bf70ee97e51b893fa3365fa9e7b40a7124dd54aeb7ae7199261df28776075,bad,BAD,BAD_NEAR_AXIS_GRID_OSCILLATION,True,0.0,0.05,8,0.01682314929283477,0.061371456421168744,0.4412284146018384,0.03242010816136956,1
nstxuG142301Y93/N7/egn07w.1428E+02,bbf64ee621f892ddab9958e5740762edfb70dfffaf33530d3058f67ac975730f,bad,BAD,BAD_GRID_SCALE_SPIKE,True,0.925,0.975,7,0.01999946782180088,0.1998331455031493,0.10133500714460987,0.030824785177360467,3
