path,manual_label,p_good_oof,flag
/global/cfs/cdirs/m314/nova2/data/nstxuG121123K51/N10/egn10w.4703E+02,good,0.026667,manual_good_but_oof_bad
/global/cfs/cdirs/m314/nova2/data/nstxu_204202/N3/egn03w.5461E+02,good,0.030000,manual_good_but_oof_bad
/global/cfs/cdirs/m314/nova2/data/nstx_141711/N7/egn07w.1840E+03,good,0.053333,manual_good_but_oof_bad
/global/cfs/cdirs/m314/nova2/data/nstxuG121123K51/N7/egn07w.4741E+02,good,0.063333,manual_good_but_oof_bad
/global/cfs/cdirs/m314/nova2/data/nstx_141711/N9/egn09w.1148E+03,good,0.073333,manual_good_but_oof_bad
/global/cfs/cdirs/m314/nova2/data/nstxuG142301H47/N7/egn07w.2530E+02,good,0.073333,manual_good_but_oof_bad
/global/cfs/cdirs/m314/nova2/data/nstxuE205052A01t022/N8/egn08w.1484E+02,good,0.076667,manual_good_but_oof_bad
/global/cfs/cdirs/m314/nova2/data/nstx_135388/N9/egn09w.2707E+02,bad,0.923333,manual_bad_but_oof_good
/global/cfs/cdirs/m314/nova2/data/nstx_135388/N2/egn02w.3455E+02,bad,0.920000,manual_bad_but_oof_good
/global/cfs/cdirs/m314/nova2/data/nstx_141711/N8/egn08w.1470E+03,good,0.086667,manual_good_but_oof_bad
/global/cfs/cdirs/m314/nova2/data/nstxuE205052A01t022/N9/egn09w.1755E+02,good,0.086667,manual_good_but_oof_bad
/global/cfs/cdirs/m314/nova2/data/nstxuG121123K51/N8/egn08w.4850E+02,good,0.086667,manual_good_but_oof_bad
/global/cfs/cdirs/m314/nova2/data/nstxuE205052A01t022/N7/egn07w.1206E+02,good,0.090000,manual_good_but_oof_bad
/global/cfs/cdirs/m314/nova2/data/nstx_135388/N7/egn07w.2890E+02,bad,0.910000,manual_bad_but_oof_good
/global/cfs/cdirs/m314/nova2/data/nstxuG142301H47/N10/egn10w.1403E+02,good,0.096667,manual_good_but_oof_bad
/global/cfs/cdirs/m314/nova2/data/nstxuG142301Y93/N9/egn09w.1539E+02,good,0.103333,manual_good_but_oof_bad
/global/cfs/cdirs/m314/nova2/data/nstxuE204669M03t025/N9/egn09w.7015E+01,good,0.106667,manual_good_but_oof_bad
/global/cfs/cdirs/m314/nova2/data/nstxuG142301H47/N10/egn10w.1503E+02,good,0.113333,manual_good_but_oof_bad
/global/cfs/cdirs/m314/nova2/data/nstxu_204202/N3/egn03w.6963E+01,good,0.123333,manual_good_but_oof_bad
/global/cfs/cdirs/m314/nova2/data/nstxuG121123J38/N9/egn09w.1497E+02,bad,0.873333,manual_bad_but_oof_good
/global/cfs/cdirs/m314/nova2/data/nstxuG142301H47/N8/egn08w.1433E+02,good,0.130000,manual_good_but_oof_bad
/global/cfs/cdirs/m314/nova2/data/nstxuG142301H47/N9/egn09w.1415E+02,good,0.130000,manual_good_but_oof_bad
/global/cfs/cdirs/m314/nova2/data/nstx_141711/N3/egn03w.3189E+02,good,0.133333,manual_good_but_oof_bad
/global/cfs/cdirs/m314/nova2/data/nstxuE205052A01t022/N10/egn10w.7276E+01,good,0.133333,manual_good_but_oof_bad
/global/cfs/cdirs/m314/nova2/data/nstx_135388/N7/egn07w.2113E+02,bad,0.860000,manual_bad_but_oof_good
/global/cfs/cdirs/m314/nova2/data/nstxuG121123Q62/N10/egn10w.1690E+02,good,0.143333,manual_good_but_oof_bad
/global/cfs/cdirs/m314/nova2/data/nstxuG121123K51/N10/egn10w.2691E+02,good,0.153333,manual_good_but_oof_bad
/global/cfs/cdirs/m314/nova2/data/nstx_141711/N7/egn07w.1594E+03,good,0.160000,manual_good_but_oof_bad
/global/cfs/cdirs/m314/nova2/data/nstxuE205052A01t022/N10/egn10w.7753E+01,good,0.160000,manual_good_but_oof_bad
/global/cfs/cdirs/m314/nova2/data/nstx_141711/N7/egn07w.3129E+02,good,0.163333,manual_good_but_oof_bad
/global/cfs/cdirs/m314/nova2/data/nstxuE204669M03t025/N10/egn10w.7202E+01,good,0.163333,manual_good_but_oof_bad
/global/cfs/cdirs/m314/nova2/data/nstxuE204669M03t025/N5/egn05w.6948E+01,good,0.163333,manual_good_but_oof_bad
/global/cfs/cdirs/m314/nova2/data/nstxu_204202/N3/egn03w.7521E+01,good,0.166667,manual_good_but_oof_bad
/global/cfs/cdirs/m314/nova2/data/nstxuG121123Q62/N9/egn09w.1686E+02,good,0.166667,manual_good_but_oof_bad
/global/cfs/cdirs/m314/nova2/data/nstxuG121123K51/N10/egn10w.4656E+02,bad,0.830000,manual_bad_but_oof_good
/global/cfs/cdirs/m314/nova2/data/nstxuE205052A01t022/N5/egn05w.1581E+02,good,0.176667,manual_good_but_oof_bad
/global/cfs/cdirs/m314/nova2/data/nstxuG142301H47/N10/egn10w.1342E+02,good,0.176667,manual_good_but_oof_bad
/global/cfs/cdirs/m314/nova2/data/nstx_135388/N3/egn03w.3321E+02,bad,0.823333,manual_bad_but_oof_good
/global/cfs/cdirs/m314/nova2/data/nstxuG121123J38/N9/egn09w.1719E+02,bad,0.823333,manual_bad_but_oof_good
/global/cfs/cdirs/m314/nova2/data/nstx_135388/N7/egn07w.1863E+02,good,0.183333,manual_good_but_oof_bad
/global/cfs/cdirs/m314/nova2/data/nstxuE204669M03t025/N5/egn05w.7072E+01,good,0.186667,manual_good_but_oof_bad
/global/cfs/cdirs/m314/nova2/data/nstxuE204669M03t025/N5/egn05w.2048E+02,good,0.190000,manual_good_but_oof_bad
/global/cfs/cdirs/m314/nova2/data/nstxuG121123Q62/N9/egn09w.1769E+02,good,0.190000,manual_good_but_oof_bad
