mode_key,rule_decision,rule_primary_reason,tail_gate_candidate_found
nstxuE205045A01t022/N4/egn04w.3005E+02,BAD,BAD_CONTINUUM_CROSSING_TAIL,True
nstxuE205045A01t022/N5/egn05w.3216E+02,BAD,BAD_CONTINUUM_CROSSING_TAIL,True
nstxuE205045A01t022/N7/egn07w.2662E+02,REVIEW,NO_GOOD_TEMPLATE,False
nstxuE205045A01t022/N7/egn07w.2845E+02,REVIEW,NO_GOOD_TEMPLATE,False
nstxuE205045A01t022/N7/egn07w.4458E+02,BAD,BAD_CONTINUUM_CROSSING_TAIL,True
nstxuE205045A01t022/N8/egn08w.2462E+02,REVIEW,NO_GOOD_TEMPLATE,False
nstxuE205045A01t022/N8/egn08w.2732E+02,REVIEW,NO_GOOD_TEMPLATE,False
nstxuE205045A01t022/N8/egn08w.4007E+02,BAD,BAD_CONTINUUM_CROSSING_TAIL,True
nstxuE205045A01t022/N8/egn08w.4550E+02,BAD,BAD_CONTINUUM_CROSSING_TAIL,True
nstxuE205045A01t022/N9/egn09w.2606E+02,REVIEW,NO_GOOD_TEMPLATE,False
nstxuE205045A01t022/N9/egn09w.4932E+02,BAD,BAD_CONTINUUM_CROSSING_TAIL,True
nstxuE205045A01t022/N10/egn10w.5337E+02,BAD,BAD_CONTINUUM_CROSSING_TAIL,True
